RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM,LAT,LON,PRICE_PER_SQM,PRICE_PER_PYEONG
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,66896,50.25,0.0,19.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1331.3,4400.9
2026,11380,은평구,10700,응암동,1,대지,376,1,미가마하나임,2026-09-02,66262,50.25,0.0,17.0,,,2026,아파트,직거래,,37.5917008831426,126.917913613611,1318.6,4359.2
2026,11530,구로구,10700,개봉동,1,대지,481,0,현대,2026-09-01,104000,84.99,0.0,9.0,,,2001,아파트,중개거래,"경기 남양주시, 서울 구로구",37.492077368255,126.858496444041,1223.7,4045.2
2026,11380,은평구,11400,진관동,1,대지,10,0,상림마을7단지아이파크(730~742동)BL1-14,2026-09-01,60000,84.63,0.0,4.0,,,2008,아파트,직거래,,37.6424032153905,126.931075917531,709.0,2343.7
2026,11320,도봉구,10500,쌍문동,1,대지,56,0,삼익세라믹,2026-09-01,42800,58.77,0.0,5.0,,,1988,아파트,중개거래,서울 도봉구,37.6575242550096,127.034882395018,728.3,2407.5
2026,11440,마포구,11100,신수동,1,대지,462,0,마포아이파크포레,2026-09-01,212800,59.376,0.0,19.0,,,2019,아파트,중개거래,서울 마포구,37.5511313387285,126.934179457937,3583.9,11847.7
2026,11530,구로구,10200,구로동,1,대지,97,0,로제리움2차,2026-09-01,9500,14.91,0.0,16.0,,,2014,아파트,중개거래,서울 구로구,37.49600114179,126.891030972504,637.2,2106.3
2026,11230,동대문구,11000,이문동,1,대지,54,0,현대,2026-09-01,96700,59.92,0.0,14.0,,,2000,아파트,중개거래,서울 동대문구,37.6013509634573,127.07019199549,1613.8,5334.9
2026,11620,관악구,10100,봉천동,1,대지,7,312,동아타운21,2026-09-01,90000,125.42,0.0,5.0,,20260901.0,2003,아파트,중개거래,"서울 관악구, 서울 동작구",37.4889292724364,126.957145812964,717.6,2372.2
2026,11710,송파구,10800,문정동,1,대지,145,0,문정시영,2026-09-01,75500,25.65,0.0,5.0,,,1989,아파트,중개거래,서울 송파구,37.4906081165342,127.135334331832,2943.5,9730.5
2026,11290,성북구,13800,장위동,1,대지,62,1,장위자이레디언트(4단지),2026-09-01,141000,59.99,0.0,12.0,입주권,,0,아파트,중개거래,서울 성북구,37.6135909157727,127.056587326538,2350.4,7769.9
