CGG_NM,STDG_NM,MNO,SNO,BLDG_NM,JIBUN_ADDR,LAT,LON,GEOCODE_METHOD
송파구,방이동,89,0,올림픽선수기자촌1단지,서울특별시 송파구 방이동 89,37.5175616546675,127.136371627591,address
용산구,문배동,24,4,용산큐브,서울특별시 용산구 문배동 24-4,37.5371341846874,126.968360848575,address
영등포구,영등포동,647,0,영등포푸르지오,서울특별시 영등포구 영등포동 647,37.5115335007354,126.90238989779,address
중랑구,면목동,494,0,용마금호타운,서울특별시 중랑구 면목동 494,37.5827673646121,127.094265154541,address
은평구,구산동,224,0,경남아너스빌,서울특별시 은평구 구산동 224,37.6055598227771,126.905382650951,address
관악구,신림동,1735,0,관악산휴먼시아2단지,서울특별시 관악구 신림동 1735,37.4591090840362,126.920038790033,address
성북구,정릉동,1018,0,길음뉴타운데시앙,서울특별시 성북구 정릉동 1018,37.6064185309777,127.016134917617,address
동작구,사당동,105,0,사당우성2,서울특별시 동작구 사당동 105,37.4896946254326,126.975650061703,address
구로구,구로동,110,10,효성,서울특별시 구로구 구로동 110-10,37.5015784644458,126.888717940655,address
중구,충무로4가,306,0,남산센트럴자이,서울특별시 중구 충무로4가 306,37.5625353854314,126.997667728847,address
용산구,한남동,829,0,나인원한남,서울특별시 용산구 한남동 829,37.5362536827062,127.003364799713,address
영등포구,여의도동,51,0,삼익,서울특별시 영등포구 여의도동 51,37.5197277260868,126.934252752973,address
서대문구,홍제동,373,0,태영으뜸(데시앙),서울특별시 서대문구 홍제동 373,37.5936456239833,126.946741942579,address
은평구,불광동,638,0,북한산래미안아파트(1단지),서울특별시 은평구 불광동 638,37.6115459583067,126.938580698515,address
양천구,신정동,1259,0,신트리1,서울특별시 양천구 신정동 1259,37.5137367146629,126.853687850909,address
구로구,구로동,145,23,성락,서울특별시 구로구 구로동 145-23,37.4885415197049,126.892996037628,address
마포구,아현동,275,2,마포푸르지오더센트럴,서울특별시 마포구 아현동 275-2,37.5544295438073,126.955881212088,address
은평구,대조동,59,48,만민하늘愛,서울특별시 은평구 대조동 59-48,37.6074832853719,126.922884688887,address
영등포구,영등포동5가,49,1,현대프라자,서울특별시 영등포구 영등포동5가 49-1,37.5222197194343,126.906688343966,address
영등포구,문래동5가,14,0,문래두산위브,서울특별시 영등포구 문래동5가 14,37.5168756500972,126.885817922217,address
노원구,상계동,624,0,상계주공16(고층),서울특별시 노원구 상계동 624,37.6687833155991,127.053725187886,address
송파구,장지동,855,0,송파파인타운12단지,서울특별시 송파구 장지동 855,37.4785343214919,127.132006876001,address
송파구,거여동,606,0,송파레이크힐,서울특별시 송파구 거여동 606,37.485984962468,127.144019029882,address
중랑구,묵동,20,0,신내대림아파트,서울특별시 중랑구 묵동 20,37.6160515822467,127.088201260977,address
성북구,정릉동,1015,0,길음뉴타운경남아너스빌,서울특별시 성북구 정릉동 1015,37.6043632616961,127.016928111633,address
은평구,녹번동,280,1,녹번JR아파트,서울특별시 은평구 녹번동 280-1,37.6000732146222,126.937911025241,address
중랑구,신내동,650,0,신내6대주,서울특별시 중랑구 신내동 650,37.6152619825876,127.091014257029,address
구로구,신도림동,412,3,신도림팰러티움,서울특별시 구로구 신도림동 412-3,37.5039563124013,126.881857090192,address
영등포구,신길동,4950,0,래미안에스티움,서울특별시 영등포구 신길동 4950,37.5011229670024,126.913908792533,address
동작구,상도동,906,0,상도푸르지오클라베뉴,서울특별시 동작구 상도동 906,37.4974502425659,126.939200000817,address
송파구,가락동,55,0,현대(6차),서울특별시 송파구 가락동 55,37.4972264609487,127.12262360564,address
동작구,상도동,904,0,상도역롯데캐슬파크엘,서울특별시 동작구 상도동 904,37.5007770723165,126.946559965444,address
중랑구,면목동,1505,0,리치카운티,서울특별시 중랑구 면목동 1505,37.5892202979161,127.084977792095,address
양천구,목동,965,0,목동롯데캐슬마에스트로,서울특별시 양천구 목동 965,37.5454615691472,126.866050297873,address
송파구,잠실동,22,0,리센츠,서울특별시 송파구 잠실동 22,37.5127510583527,127.088417185047,address
양천구,목동,739,1,목동보미리즌빌,서울특별시 양천구 목동 739-1,37.5391540020624,126.866338909431,address
양천구,신월동,491,1,신월대림,서울특별시 양천구 신월동 491-1,37.5237120880527,126.844873559047,address
노원구,공릉동,742,0,효성아파트,서울특별시 노원구 공릉동 742,37.6206662696947,127.08867090156,address
구로구,고척동,339,0,고척파크푸르지오,서울특별시 구로구 고척동 339,37.5076107829514,126.858113348584,address
영등포구,당산동4가,96,0,당산반도유보라팰리스,서울특별시 영등포구 당산동4가 96,37.5273143682242,126.901285885351,address
동작구,상도동,414,0,건영,서울특별시 동작구 상도동 414,37.5071679625466,126.949774021816,address
중랑구,면목동,1508,0,동원베네스트,서울특별시 중랑구 면목동 1508,37.5838893765516,127.083996259827,address
은평구,진관동,60,0,은평뉴타운솔하임,서울특별시 은평구 진관동 60,37.6394124812671,126.917322630702,address
송파구,방이동,130,19,인텍스빌,서울특별시 송파구 방이동 130-19,37.5098435790419,127.120449904099,address
도봉구,창동,805,0,동아그린,서울특별시 도봉구 창동 805,37.6543732154344,127.046478203288,address
중랑구,상봉동,496,0,우정아파트,서울특별시 중랑구 상봉동 496,37.5994293182578,127.088683853976,address
성북구,정릉동,239,0,정릉풍림아이원,서울특별시 성북구 정릉동 239,37.6184876142783,127.007297911588,address
영등포구,영등포동1가,94,2,여의도더리브스타일,서울특별시 영등포구 영등포동1가 94-2,37.5177534119374,126.913137240393,address
