SIDO_NM,SGG_NM,ADMI_NM,FULL_NM,ADMI_CD,TT,M00,M10,M20,M30,M40,M50,M60,M70,F00,F10,F20,F30,F40,F50,F60,F70
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,4,134.85276712328766,910.5506575342465,1723.8847123287671,2727.7159452054793,2056.4198630136984,2157.1046849315067,2854.3009315068493,2252.758520547945,186.46487671232876,895.3311506849315,1859.3384383561645,2678.61898630137,2102.81301369863,2541.415479452055,3125.8029041095892,2950.6011506849313
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,5,137.10139726027398,926.2660273972602,1755.293589041096,2755.4721369863014,2094.4409589041093,2187.5951506849315,2838.20898630137,2270.3404931506852,189.40361643835618,912.0538904109588,1920.373205479452,2714.8729589041095,2136.700082191781,2579.2706575342468,3138.248684931507,2963.3147671232873
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,6,137.12747945205479,938.2395342465753,1759.1214520547944,2766.116794520548,2124.67098630137,2220.1094794520545,2825.1372328767125,2270.711698630137,189.452301369863,916.6742191780822,1915.5957534246575,2714.590794520548,2150.867479452055,2598.6890410958904,3152.652904109589,2995.157150684932
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,7,138.28547945205477,1051.0103287671234,1769.7036986301368,2783.3841643835617,2191.076931506849,2320.206821917808,2816.0289589041095,2257.6340273972605,192.10383561643835,981.5167123287671,1945.9868767123287,2748.7527397260274,2208.683205479452,2679.5556986301367,3168.7407671232872,3040.725397260274
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,8,137.53802739726027,1467.771424657534,1849.3447945205478,2905.7676712328766,2363.7497808219177,2502.98301369863,2812.5179452054795,2283.881397260274,190.31465753424658,1131.3627671232875,2054.449095890411,2837.3813424657533,2319.385479452055,2819.372191780822,3237.0308493150687,3104.911808219178
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,9,141.58024657534247,1549.4968493150684,1958.9195342465753,3122.42101369863,2586.613726027397,2650.0289315068494,2835.638767123288,2304.7950684931507,187.9894520547945,1187.34,2298.4644383561645,3066.9206027397263,2487.7730958904112,3051.273205479452,3364.036712328767,3177.201643835617
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,10,145.98197260273972,1581.7788493150686,2002.1747671232877,3229.1664657534247,2717.3599726027396,2744.8058082191783,2897.0466575342466,2322.1882739726025,192.37347945205482,1203.4589315068492,2392.205917808219,3191.183178082192,2650.591095890411,3259.204383561644,3502.3841917808218,3253.1145479452057
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,11,149.43224657534245,1604.5545753424658,2049.2721917808217,3326.040931506849,2855.472575342466,2846.4488493150684,2964.883780821918,2362.212410958904,201.38452054794521,1232.0170410958904,2485.0128767123288,3304.686739726027,2808.926383561644,3450.645260273973,3646.0587397260274,3347.271424657534
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,12,152.27605479452055,1628.905178082192,2078.685397260274,3383.2499452054794,2944.805315068493,2917.902273972603,3003.6826027397256,2390.8436438356166,207.9664383561644,1271.9987671232877,2547.5930410958904,3358.6194520547947,2916.85895890411,3590.242410958904,3772.4123561643837,3426.919808219178
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,13,153.75887671232877,1641.8767671232877,2087.5212602739725,3392.2378630136986,2956.390712328767,2931.5013698630137,3017.8229863013694,2374.583287671233,213.7134794520548,1312.7735342465753,2551.6159726027395,3333.140246575342,2987.005835616438,3663.9065753424657,3828.507671232877,3454.3181917808215
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,14,158.29405479452055,1642.8880547945205,2086.424767123288,3389.8124383561644,2961.693616438356,2933.0590958904113,2995.1187123287673,2356.8985205479453,227.44016438356167,1325.9213150684932,2538.515643835616,3327.610849315068,3010.3810958904114,3696.248246575343,3820.3594520547945,3435.5188767123286
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,15,168.62813698630137,1537.6724383561643,2070.3188219178082,3374.2256438356167,2954.1443835616437,2904.8386301369865,2982.8163013698627,2347.360383561644,242.3520821917808,1306.427479452055,2510.802328767123,3301.651890410959,2983.795808219178,3655.960191780822,3733.4761095890412,3367.3364931506853
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,16,181.34802739726027,1337.2662739726027,2066.9496164383563,3371.072602739726,2946.8254246575343,2885.695479452055,2981.757342465753,2351.9843287671233,245.068,1269.1822191780823,2480.4455342465753,3273.2546849315067,2928.7904383561645,3568.149205479452,3639.615616438356,3299.2217534246574
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,17,181.44372602739728,1294.651397260274,2078.26997260274,3362.2771780821918,2913.765095890411,2845.465561643836,3020.0154520547944,2331.358575342466,249.58654794520547,1252.508410958904,2460.5144383561646,3236.1996164383563,2843.719506849315,3448.718082191781,3563.1579726027394,3234.4750958904106
서울특별시,강서구,등촌3동,서울특별시 강서구 등촌3동,11500535,18,172.31482191780822,1255.3594246575342,2071.448630136986,3308.4599726027395,2832.8919452054797,2784.3037534246573,3053.4237808219177,2319.303178082192,234.36706849315067,1204.4669589041096,2440.387506849315,3206.152383561644,2720.6733424657536,3320.475589041096,3499.5784109589044,3167.8266575342464
